date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
2014-01-04,Nigeria,Ethiopia,2,1,Friendly,Abuja,Nigeria,False,Nigeria
2014-01-11,Mali,Nigeria,2,1,African Nations Championship,Cape Town,South Africa,True,Mali
2014-01-12,Zimbabwe,Morocco,0,0,African Nations Championship,Cape Town,South Africa,True,TIE
2014-01-15,Moldova,Norway,1,2,Friendly,Abu Dhabi,United Arab Emirates,True,Norway
2014-01-15,Nigeria,Mozambique,4,2,African Nations Championship,Cape Town,South Africa,True,Nigeria
2014-01-15,South Africa,Mali,1,1,African Nations Championship,Cape Town,South Africa,False,TIE
2014-01-16,Burkina Faso,Morocco,1,1,African Nations Championship,Cape Town,South Africa,True,TIE
2014-01-17,Moldova,Sweden,1,2,Friendly,Abu Dhabi,United Arab Emirates,True,Sweden
2014-01-18,Norway,Poland,0,3,Friendly,Abu Dhabi,United Arab Emirates,True,Poland
2014-01-19,Mozambique,Mali,1,2,African Nations Championship,Cape Town,South Africa,True,Mali
2014-01-19,South Africa,Nigeria,1,3,African Nations Championship,Cape Town,South Africa,False,Nigeria
2014-01-20,Moldova,Poland,0,1,Friendly,Abu Dhabi,United Arab Emirates,True,Poland
2014-01-20,Morocco,Uganda,3,1,African Nations Championship,Cape Town,South Africa,True,Morocco
2014-01-21,Iceland,Sweden,0,2,Friendly,Abu Dhabi,United Arab Emirates,True,Sweden
2014-01-22,Chile,Costa Rica,4,0,Friendly,Coquimbo,Chile,False,Chile
2014-01-25,Costa Rica,South Korea,0,1,Friendly,Los Angeles,United States,True,South Korea
2014-01-25,Mali,Zimbabwe,1,2,African Nations Championship,Cape Town,South Africa,True,Zimbabwe
2014-01-25,Morocco,Nigeria,3,4,African Nations Championship,Cape Town,South Africa,True,Nigeria
2014-01-29,Mexico,South Korea,4,0,Friendly,San Antonio,United States,True,Mexico
2014-01-29,Nigeria,Ghana,0,0,African Nations Championship,Bloemfontein,South Africa,True,TIE
2014-02-01,Zimbabwe,Nigeria,0,1,African Nations Championship,Cape Town,South Africa,True,Nigeria
2014-03-05,Algeria,Slovenia,2,0,Friendly,Blida,Algeria,False,Algeria
2014-03-05,Australia,Ecuador,3,4,Friendly,London,England,True,Ecuador
2014-03-05,Austria,Uruguay,1,1,Friendly,Klagenfurt,Austria,False,TIE
2014-03-05,Belgium,Ivory Coast,2,2,Friendly,Brussels,Belgium,False,TIE
2014-03-05,Bosnia and Herzegovina,Egypt,0,2,Friendly,Innsbruck,Austria,True,Egypt
2014-03-05,Colombia,Tunisia,1,1,Friendly,Barcelona,Spain,True,TIE
2014-03-05,Czech Republic,Norway,2,2,Friendly,Prague,Czech Republic,False,TIE
2014-03-05,England,Denmark,1,0,Friendly,London,England,False,England
2014-03-05,France,Netherlands,2,0,Friendly,Saint-Denis,France,False,France
2014-03-05,Germany,Chile,1,0,Friendly,Stuttgart,Germany,False,Germany
2014-03-05,Hungary,Finland,1,2,Friendly,GyÅr,Hungary,False,Finland
2014-03-05,Republic of Ireland,Serbia,1,2,Friendly,Dublin,Republic of Ireland,False,Serbia
2014-03-05,Israel,Slovakia,1,3,Friendly,Netanya,Israel,False,Slovakia
2014-03-05,Japan,New Zealand,4,2,Friendly,Tokyo,Japan,False,Japan
2014-03-05,Mali,Senegal,1,1,Friendly,Saint-Leu-la-ForÃªt,France,True,TIE
2014-03-05,Morocco,Gabon,1,1,Friendly,Marrakech,Morocco,False,TIE
2014-03-05,Poland,Scotland,0,1,Friendly,Warsaw,Poland,False,Scotland
2014-03-05,Portugal,Cameroon,5,1,Friendly,Leiria,Portugal,False,Portugal
2014-03-05,Romania,Argentina,0,0,Friendly,Bucharest,Romania,False,TIE
2014-03-05,Russia,Armenia,2,0,Friendly,Krasnodar,Russia,False,Russia
2014-03-05,South Africa,Brazil,0,5,Friendly,Johannesburg,South Africa,False,Brazil
2014-03-05,Spain,Italy,1,0,Friendly,Madrid,Spain,False,Spain
2014-03-05,Switzerland,Croatia,2,2,Friendly,St. Gallen,Switzerland,False,TIE
2014-03-05,Turkey,Sweden,2,1,Friendly,Ankara,Turkey,False,Turkey
2014-03-05,Ukraine,United States,2,0,Friendly,Larnaca,Cyprus,True,Ukraine
2014-03-05,Wales,Iceland,3,1,Friendly,Cardiff,Wales,False,Wales
2014-05-13,Germany,Poland,0,0,Friendly,Hamburg,Germany,False,TIE
2014-05-17,Netherlands,Ecuador,1,1,Friendly,Amsterdam,Netherlands,False,TIE
2014-05-21,Burkina Faso,Senegal,1,1,Friendly,Ouagadougou,Burkina Faso,False,TIE
2014-05-22,Hungary,Denmark,2,2,Friendly,Debrecen,Hungary,False,TIE
2014-05-22,Ukraine,Niger,2,1,Friendly,Kyiv,Ukraine,False,Ukraine
2014-05-23,Bulgaria,Canada,1,1,Friendly,Ritzing,Austria,True,TIE
2014-05-23,Slovakia,Montenegro,2,0,Friendly,Senec,Slovakia,False,Slovakia
2014-05-25,Kosovo,Senegal,1,3,Friendly,Lancy,Switzerland,True,Senegal
2014-05-25,Mali,Guinea,1,2,Friendly,Colombes,France,True,Guinea
2014-05-26,Australia,South Africa,1,1,Friendly,Sydney,Australia,False,TIE
2014-05-26,Belgium,Luxembourg,5,1,Friendly,Genk,Belgium,False,Belgium
2014-05-26,Jamaica,Serbia,1,2,Friendly,Harrison,United States,True,Serbia
2014-05-26,North Macedonia,Cameroon,0,2,Friendly,Kufstein,Austria,True,Cameroon
2014-05-26,Russia,Slovakia,1,0,Friendly,Saint Petersburg,Russia,False,Russia
2014-05-27,France,Norway,4,0,Friendly,Saint-Denis,France,False,France
2014-05-27,Japan,Cyprus,1,0,Friendly,Saitama,Japan,False,Japan
2014-05-27,Moldova,Canada,1,1,Friendly,Mauer,Austria,True,TIE
2014-05-28,Angola,Morocco,2,0,Friendly,Faro,Portugal,True,Angola
2014-05-28,Denmark,Sweden,1,0,Friendly,Copenhagen,Denmark,False,Denmark
2014-05-28,South Korea,Tunisia,0,1,Friendly,Seoul,South Korea,False,Tunisia
2014-05-28,Nigeria,Scotland,2,2,Friendly,London,England,True,TIE
